REGION,STATEFIP,METRO,OWNERSHP,RENT,FOODSTMP,VEHICLES,FAMSIZE,NCHILD,SEX,MARST,MARRNO,RACE,HISPAN,CITIZEN,SPEAKENG,HCOVANY,EDUC,GRADEATT,EMPSTAT,UHRSWORK,POVERTY,DIFFREM,DIFFMOB,VETSTAT,UTILITIES,GENERATION
0,9,1,1,0,0,2,3,1,2,0,1,1,0,0,1,1,10,7,1,35,1,0,0,1,3610.75,2
0,9,1,1,0,0,3,2,0,2,0,2,1,0,0,1,1,11,7,1,47,1,0,0,1,3500.75,2
0,9,0,1,0,0,6,3,0,2,2,0,1,0,0,1,1,8,6,1,12,1,0,0,1,3578.25,1
0,9,1,2,700,1,1,4,2,2,0,1,1,1,0,1,1,7,6,1,32,0,0,0,1,6827.5,1
0,9,1,0,0,0,0,1,0,1,2,0,1,0,0,1,1,7,6,3,60,0,0,0,1,0,1
0,9,0,0,0,0,0,1,0,1,2,0,1,1,0,1,1,6,6,3,20,0,0,0,1,0,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,3,5,0,0,0,1,0,1
0,9,0,1,0,0,3,5,0,2,2,0,1,0,0,1,1,7,6,3,40,1,0,0,1,6796.5,1
0,9,0,1,0,0,3,5,0,1,2,0,1,0,0,1,1,6,5,3,30,1,0,0,1,6796.5,1
0,9,1,1,0,1,2,6,0,1,2,0,8,0,1,1,0,7,6,1,20,1,0,0,1,3060.75,1
0,9,1,1,0,0,0,2,1,2,1,1,1,0,0,1,0,10,7,1,15,1,0,0,1,4060.75,2
0,9,1,1,0,0,2,2,0,1,0,1,1,0,0,1,1,7,6,1,40,1,0,0,1,3198.25,2
0,9,1,1,0,0,2,4,0,1,2,0,2,0,0,1,1,5,5,3,0,1,1,1,1,3938.25,1
0,9,1,1,0,0,2,2,0,2,0,2,1,0,0,1,1,11,7,1,50,1,0,0,1,3075.75,2
0,9,1,1,0,0,6,4,0,2,2,0,1,0,0,1,1,10,7,1,30,1,0,0,1,4418.25,1
0,9,1,1,0,0,6,4,0,2,2,0,1,0,0,1,1,6,6,1,20,1,0,0,1,4418.25,1
0,9,0,1,0,0,4,3,0,2,2,0,1,0,0,1,1,10,7,2,38,1,0,0,1,5696.5,1
0,9,0,1,0,0,4,4,0,1,2,0,1,0,0,1,0,7,6,1,20,1,0,0,1,6046.5,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,3,0,0,0,0,1,0,1
0,9,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,6,5,3,0,0,1,0,1,0,2
0,9,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,1,24,0,0,0,1,0,1
0,9,1,1,0,0,2,1,0,2,1,1,1,0,0,1,1,7,6,1,40,1,0,0,1,3080.75,2
0,9,0,0,0,0,0,1,0,2,2,0,4,0,2,1,1,7,6,1,6,0,0,0,1,0,1
