"","REGION","STATEFIP","METRO","OWNERSHP","RENT","FOODSTMP","VEHICLES","FAMSIZE","NCHILD","SEX","AGE","MARST","MARRNO","RACE","CITIZEN","SPEAKENG","HCOVANY","EDUC","GRADEATT","EMPSTAT","UHRSWORK","INCTOT","FTOTINC","INCWELFR","POVERTY","VETDISAB","DIFFREM","VETSTAT","UTILITIES","HHINCOME"
"1","1",17,"0",2,1100,"0",3,"3",0,"0",29,"0",0,"4","2","1","0",6,6,"1",30,15000,40000,0,"1","0",1,1,2765.75,NA
"2","1",17,"0",1,0,"0",2,"2",0,"0",31,"0",1,"1","0","1","0",10,7,"1",16,5004,85004,0,"1","0",1,1,3240.75,NA
"3","1",17,"0",2,1200,"0",1,"3",0,"0",18,"0",0,"2","0","1","0",5,5,"2",0,0,120000,0,"1","0",1,1,3620.75,NA
"4","1",17,"0",0,0,"0",0,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"1",20,4000,0,0,"0","0",1,1,0,NA
"5","1",17,"0",2,650,"0",1,"4",0,"0",21,"0",0,"7","0","1","0",7,6,"0",0,0,53200,0,"1","0",1,1,5237.5,NA
"6","1",17,"0",1,0,"0",2,"4",2,"0",31,"0",1,"1","0","1","0",7,6,"0",0,0,40000,0,"1","0",1,1,3668.25,NA
"7","1",17,"0",1,0,"0",2,"4",0,"0",32,"0",0,"1","2","1","0",6,6,"1",40,24000,108400,0,"1","0",1,1,3153.25,NA
"8","1",17,"0",2,650,"0",1,"4",0,"0",31,"0",1,"1","0","1","0",6,6,"1",16,7200,107200,0,"1","0",1,1,5507.5,NA
"9","1",17,"0",0,0,"0",0,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"2",35,2000,0,0,"0","0",1,1,0,NA
"10","1",17,"0",1,0,"0",2,"2",0,"0",23,"0",0,"1","0","1","0",10,7,"1",35,35000,52000,0,"1","0",1,1,3040.75,NA
"11","1",17,"0",1,0,"0",1,"1",0,"0",53,"0",1,"2","0","1","0",8,6,"0",15,6000,6000,0,"0","0",1,1,4423.25,NA
"12","1",17,"0",2,1300,"0",2,"1",0,"0",31,"0",1,"1","0","1","0",6,6,"1",40,66000,66000,0,"1","0",1,1,5447.5,NA
