REGION,STATEFIP,METRO,OWNERSHP,RENT,FOODSTMP,VEHICLES,FAMSIZE,NCHILD,SEX,AGE,MARST,MARRNO,RACE,CITIZEN,SPEAKENG,HCOVANY,EDUC,GRADEATT,EMPSTAT,UHRSWORK,INCTOT,FTOTINC,INCWELFR,POVERTY,VETDISAB,DIFFREM,VETSTAT,UTILITIES
2,1,1,1,0,0,3,3,0,0,21,2,0,1,0,3,1,7,6,0,0,0,94000,0,501,0,1,1,5726.5
2,1,0,0,0,0,0,1,0,0,31,1,1,1,0,3,0,4,5,1,40,1300,0,0,11,0,1,1,0
2,1,1,2,600,0,1,1,0,0,19,2,0,1,0,3,1,7,6,1,24,2600,2600,0,22,0,1,1,5507.5
2,1,1,1,0,0,2,2,0,1,18,2,0,1,0,3,1,6,6,1,25,11800,85200,0,501,0,1,1,3610.75
2,1,1,0,0,0,0,1,0,0,19,2,0,2,0,3,1,6,6,0,0,0,0,0,0,0,1,1,0
2,1,1,2,650,1,1,1,0,1,21,2,0,2,0,3,0,7,6,2,10,300,300,0,2,0,1,1,9995
2,1,1,2,650,1,1,1,0,1,20,2,0,2,0,3,1,7,6,1,40,3400,3400,0,30,0,1,1,9995
2,1,1,1,0,0,2,2,0,1,56,0,1,2,0,3,1,6,6,0,0,3000,21700,0,144,0,1,1,5734
2,1,1,0,0,0,0,1,0,0,24,2,0,2,0,3,1,3,5,0,0,0,0,0,0,0,1,1,0
2,1,1,1,0,0,2,3,1,0,36,0,1,1,0,3,1,10,7,1,40,49000,67000,0,374,0,1,1,5686.5
2,1,1,0,0,0,0,1,0,1,21,2,0,1,0,3,0,7,6,1,12,5000,0,0,0,0,1,1,0
2,1,1,2,750,1,2,2,0,0,57,0,3,2,0,3,0,6,6,0,40,12740,12740,0,85,3,1,2,3228.25
2,1,1,1,0,0,4,3,0,1,19,2,0,1,0,3,1,7,6,1,10,2000,142040,0,501,0,1,1,3548.25
2,1,1,1,0,0,3,4,0,0,20,2,0,1,0,3,1,6,6,1,40,8000,70000,0,311,0,1,1,3718.25
2,1,1,0,0,0,0,1,0,0,19,2,0,1,0,3,1,7,6,0,0,1500,0,0,0,0,1,1,0
2,1,1,1,0,0,3,3,0,0,21,2,0,3,0,3,1,7,6,2,0,0,71200,0,417,0,1,1,5926.5
2,1,1,1,0,0,3,3,0,0,18,2,0,3,0,3,1,5,5,2,20,1200,71200,0,417,0,1,1,5926.5
2,1,1,1,0,0,5,6,4,0,40,0,1,2,0,3,1,7,6,1,40,10000,80000,0,253,1,1,2,3668.25
2,1,1,1,0,0,5,6,4,1,38,0,1,2,0,3,0,7,6,1,36,70000,80000,0,253,0,1,1,3668.25
2,1,1,1,0,0,5,6,0,0,18,2,0,2,0,3,1,6,6,0,0,0,80000,0,253,0,1,1,3668.25
2,1,1,1,0,0,1,1,0,1,84,1,2,2,0,3,1,11,7,0,0,33100,33100,0,310,0,1,1,3278.25
2,1,1,2,680,0,2,2,0,1,26,2,0,1,0,3,1,10,7,1,36,40000,70000,0,479,0,1,1,2903.25
2,1,1,2,680,0,2,2,0,1,28,2,0,1,0,3,1,10,7,1,40,30000,70000,0,479,0,1,1,2903.25
2,1,1,0,0,0,0,1,0,1,22,2,0,1,0,3,1,7,6,1,5,5000,0,0,0,0,1,1,0
2,1,1,1,0,0,2,4,0,1,31,2,0,1,0,3,1,10,6,1,40,25370,117410,0,501,0,1,1,8064.75
2,1,1,1,0,0,2,1,0,0,42,1,3,1,0,3,0,8,6,0,20,600,600,0,5,1,1,2,5454
2,1,1,1,0,0,2,4,2,0,27,0,1,2,0,3,1,6,6,1,40,31000,116000,0,501,0,1,1,6016.5
2,1,1,1,0,0,3,4,0,1,19,2,0,1,0,3,1,7,6,1,40,6000,123000,0,501,0,1,1,5926.5
2,1,1,2,650,1,3,4,0,1,18,2,0,2,0,3,0,6,5,1,12,1000,17000,0,76,0,1,1,3875.75
2,1,1,0,0,0,0,1,0,1,18,2,0,1,0,3,1,7,6,1,10,5304,0,0,0,0,1,1,0
2,1,1,1,0,0,0,4,0,0,23,2,0,1,0,3,1,6,6,1,45,21000,101000,0,439,0,1,1,5731.5
2,1,1,1,0,0,0,4,0,1,19,2,0,1,0,3,1,6,6,1,12,2000,101000,0,439,0,1,1,5731.5
2,1,0,1,0,0,2,1,0,1,50,1,2,2,0,3,0,7,6,0,0,0,0,0,1,0,1,1,3458.25
2,1,1,2,350,0,3,3,0,0,20,2,0,1,0,3,0,7,6,1,37,10000,23000,0,130,0,1,1,3248.25
2,1,1,1,0,1,1,3,1,1,20,2,0,2,0,3,0,6,6,0,40,20000,62000,0,352,0,1,1,3323.25
2,1,1,1,0,1,1,2,0,1,26,2,0,2,0,3,1,6,6,1,40,49800,101800,0,501,0,1,1,3505.75
2,1,1,0,0,0,0,1,0,1,19,2,0,1,0,3,1,7,6,1,20,3000,0,0,0,0,1,1,0
2,1,0,1,0,0,2,3,1,1,21,0,1,1,0,4,1,8,6,1,42,44000,58000,0,327,0,1,1,2980.75
2,1,0,1,0,0,3,2,0,1,48,0,1,2,0,3,1,8,6,1,38,21900,21900,0,149,0,1,1,3038.25
3,2,1,2,1700,0,2,2,0,0,37,0,2,1,0,3,1,8,6,1,50,80000,110000,0,501,1,1,1,3238.25
3,2,0,2,750,0,2,4,2,1,36,0,1,1,0,3,1,10,7,1,60,52200,101400,0,449,0,1,1,3428.25
3,2,0,1,0,0,3,4,0,1,18,2,0,3,0,3,0,5,5,1,10,4900,23300,0,105,0,1,1,4048.25
3,2,0,0,0,0,0,1,0,1,21,2,0,3,0,4,1,6,6,0,40,3300,0,0,0,0,1,1,0
3,2,1,2,850,0,2,2,0,0,29,0,1,1,0,3,1,10,7,1,36,33000,84300,0,501,0,1,1,7557.75
3,2,1,1,0,0,1,1,0,0,66,1,2,1,0,3,1,10,7,1,40,82900,82900,0,501,1,1,2,3103.25
3,2,0,2,310,1,0,3,2,1,22,2,0,1,0,3,1,7,6,1,35,26800,26800,0,150,0,1,1,5846.5
3,2,0,1,0,1,0,8,0,0,20,2,0,3,0,4,0,5,5,0,0,1300,42500,0,111,0,1,1,5208.25
3,2,0,1,0,1,0,8,0,0,18,2,0,3,0,4,1,5,5,0,0,1300,42500,0,111,0,1,1,5208.25
3,2,0,1,0,1,0,1,0,1,18,2,0,3,0,5,1,5,5,0,0,1300,1300,0,11,0,1,1,5208.25
3,4,1,2,0,0,2,2,0,0,22,2,0,1,0,3,1,10,6,0,12,3000,3000,0,20,0,1,1,3218.25
3,4,1,2,0,0,2,2,0,0,19,2,0,1,0,3,1,7,6,0,0,0,3000,0,20,0,1,1,3218.25
3,4,1,1,0,0,3,2,0,1,55,0,1,1,0,3,1,8,6,1,55,102000,102000,0,501,0,1,1,3243.25
3,4,1,0,0,0,0,1,0,0,20,2,0,5,0,3,1,7,6,0,0,0,0,0,0,0,1,1,0
3,4,1,1,0,0,3,4,0,0,18,2,0,1,0,3,1,6,5,0,40,1500,121500,0,501,0,1,1,3393.25
3,4,1,2,2500,0,4,5,0,0,21,2,0,1,0,3,1,7,6,1,20,8000,210000,0,501,0,1,1,6866.5
3,4,1,2,2500,0,4,5,0,0,19,2,0,1,0,3,1,6,5,0,40,3000,210000,0,501,0,1,1,6866.5
3,4,1,2,2500,0,4,5,0,1,18,2,0,1,0,3,1,5,5,0,0,0,210000,0,501,0,1,1,6866.5
3,4,1,0,0,0,0,1,0,0,21,2,0,1,0,3,1,7,6,1,8,2400,0,0,0,0,1,1,0
3,4,1,0,0,0,0,1,0,1,21,2,0,1,0,3,1,7,6,1,10,5000,0,0,0,0,1,1,0
3,4,1,2,710,0,0,1,0,0,23,2,0,2,0,3,1,7,6,1,20,2200,2200,0,19,0,1,1,5309
3,4,1,1,0,0,3,7,3,0,33,0,1,1,0,3,1,7,6,2,0,17200,207100,17200,501,0,1,1,6011.5
3,4,1,1,0,0,3,7,3,1,29,0,1,1,0,3,1,8,6,1,40,3900,207100,0,501,0,1,1,6011.5
3,4,1,1,0,0,3,3,0,0,21,2,0,1,0,3,1,7,6,1,10,3000,42300,0,242,0,1,1,6274
3,4,1,2,500,0,4,4,0,1,23,2,0,1,0,3,1,10,6,0,30,3000,75000,0,332,0,1,1,5961.5
3,4,1,2,500,0,4,4,0,0,22,2,0,1,0,3,1,7,6,1,18,2000,75000,0,332,0,1,1,5961.5
3,4,1,2,700,0,2,1,0,1,25,2,0,3,0,4,1,7,6,1,30,8500,8500,0,73,0,1,1,5404
3,4,1,0,0,0,0,1,0,1,47,2,0,2,0,3,0,7,6,0,0,0,0,0,0,0,1,1,0
3,4,0,2,800,0,2,2,0,1,28,2,0,1,0,3,1,7,6,1,96,40000,73000,0,496,0,1,1,870
3,4,1,1,0,0,1,2,1,1,29,1,1,1,0,3,1,7,6,1,40,38600,38600,0,254,0,1,1,5526.5
3,4,1,1,0,0,5,6,0,0,21,2,0,1,0,3,1,6,6,0,40,16000,58400,0,184,0,1,1,4643.25
3,4,1,1,0,0,5,6,0,0,19,2,0,1,0,3,1,7,6,0,0,0,58400,0,184,0,1,1,4643.25
3,4,1,1,0,0,2,4,0,0,19,2,0,1,0,3,0,6,6,0,0,0,58000,0,253,0,1,1,5746.5
3,4,0,0,0,0,0,1,0,0,22,2,0,3,0,3,0,7,6,0,40,45000,0,0,0,0,1,1,0
3,4,1,0,0,0,0,1,0,1,19,2,0,1,0,3,1,6,6,0,25,1000,0,0,0,0,1,1,0
3,4,1,0,0,1,0,1,0,0,47,1,1,1,0,3,1,6,6,0,0,0,0,0,1,0,1,1,0
3,4,1,2,670,0,1,1,0,0,33,2,0,1,0,3,1,11,6,1,20,60000,60000,0,501,0,1,1,7645.75
3,4,1,0,0,0,0,1,0,0,67,0,1,1,0,3,1,7,6,1,10,73800,0,0,501,0,1,1,0
3,4,1,1,0,0,4,5,0,0,23,2,0,1,0,3,1,8,6,0,0,0,113000,0,419,0,1,1,4268.25
3,4,1,2,2500,0,4,4,0,1,19,2,0,1,2,3,0,6,6,1,45,4000,57000,0,247,0,1,1,2955.75
3,4,1,1,0,0,3,3,0,1,18,2,0,1,0,3,1,6,6,1,20,3000,121000,0,501,0,1,1,3338.25
3,4,1,1,0,0,2,3,0,1,19,0,1,1,0,3,1,7,6,0,0,0,51000,0,283,0,1,1,5401.5
3,4,0,1,0,0,2,4,2,1,33,0,1,1,0,3,0,8,6,1,40,17000,33700,0,151,0,1,1,3288.25
3,4,0,1,0,0,2,4,2,0,38,0,1,2,0,3,0,6,6,1,40,16700,33700,0,151,0,1,1,3288.25
3,4,1,2,1200,1,1,6,0,1,21,2,0,1,0,4,1,7,6,0,0,1300,19300,1300,66,0,1,1,6286.5
3,4,0,1,0,0,2,3,1,0,51,0,1,7,0,3,1,7,6,1,40,60900,115900,0,501,3,1,2,3128.25
3,4,1,1,0,0,4,5,0,1,23,2,0,1,2,4,1,7,6,1,40,4000,64300,0,227,0,1,1,3463.25
3,4,1,1,0,0,4,5,0,0,19,2,0,1,2,4,1,7,6,1,20,2700,64300,0,227,0,1,1,3463.25
3,4,0,1,0,0,3,3,1,1,46,0,2,1,0,4,1,8,6,1,40,38000,58000,0,321,0,1,1,3123.25
3,4,0,1,0,0,3,3,1,0,42,0,1,1,0,4,1,11,7,1,60,20000,58000,0,321,1,1,2,3123.25
3,4,1,2,950,0,2,3,1,1,22,0,1,1,0,3,1,6,6,1,40,25000,51000,0,289,1,1,2,5246.5
3,4,1,1,0,0,4,4,0,1,22,2,0,1,0,3,1,7,6,1,15,4200,162100,0,501,0,1,1,5896.5
3,4,1,1,0,0,4,4,0,1,18,2,0,1,0,3,1,6,5,1,13,2900,162100,0,501,0,1,1,5896.5
3,4,0,1,0,0,4,4,0,0,22,2,0,7,0,3,0,6,6,0,42,500,107400,0,469,0,1,1,3193.25
3,4,1,2,770,0,2,1,0,1,28,2,0,1,0,3,0,10,6,1,40,21010,21010,0,183,0,1,1,9997
3,4,0,1,0,0,3,3,1,1,59,0,1,3,0,4,0,10,7,1,40,26000,55800,0,319,0,1,1,5128.5
3,4,1,1,0,0,1,1,0,0,22,2,0,1,0,4,1,7,6,1,40,31000,31000,0,273,0,1,1,5311.5
3,4,1,0,0,0,0,1,0,0,18,2,0,2,0,3,1,5,5,0,35,2500,0,0,0,0,1,1,0
3,4,1,1,0,0,2,4,0,0,19,2,0,1,0,3,1,5,5,0,0,19700,71700,0,311,0,2,1,6424
3,4,1,1,0,0,4,4,0,0,21,2,0,1,0,3,1,7,6,0,0,0,175500,0,501,0,1,1,6179
3,4,1,1,0,0,4,4,0,1,19,2,0,1,0,3,1,6,5,1,12,1400,175500,0,501,0,1,1,6179
3,4,0,1,0,1,2,5,0,0,18,2,0,3,0,3,0,5,5,0,0,0,2940,0,10,0,1,1,3103.25
3,4,1,1,0,0,2,2,0,0,27,2,0,1,0,3,0,6,6,0,0,0,65000,0,440,0,1,1,5926.5
3,4,1,1,0,0,5,5,3,1,45,0,1,1,0,3,1,10,6,0,0,0,298000,0,501,0,1,1,3878.25
3,4,1,1,0,0,5,5,0,0,18,2,0,1,0,3,1,6,6,0,20,2000,298000,0,501,0,1,1,3878.25
3,4,1,1,0,0,2,3,1,1,37,0,1,1,0,3,1,7,6,1,40,40000,71000,0,399,0,1,1,3625.75
3,4,1,2,830,0,0,3,0,1,19,2,0,2,0,3,0,2,4,0,0,0,500,0,2,0,1,1,8335.75
3,4,0,2,300,0,3,5,3,1,36,0,1,1,0,3,1,7,6,1,50,64000,109000,0,418,0,1,1,5657.5
3,4,0,1,0,0,1,3,0,0,23,2,0,1,0,3,1,7,6,1,36,15000,47000,0,272,0,1,1,5246.5
3,4,1,1,0,0,4,2,0,1,18,2,0,1,0,3,1,7,6,2,20,400,61400,0,413,0,1,1,3248.25
3,4,1,2,450,0,0,1,0,0,24,2,0,1,0,3,1,7,6,0,38,1200,1200,0,10,0,1,1,9995
3,4,1,2,450,0,0,1,0,0,18,2,0,1,0,3,1,6,6,0,0,0,0,0,1,0,1,1,9995
2,5,1,2,770,0,1,1,0,0,38,1,1,2,0,3,1,7,6,2,35,11000,11000,0,94,1,1,2,8035.75
2,5,1,2,770,0,1,1,0,0,38,1,1,2,0,3,1,10,7,1,40,41000,41000,0,357,0,1,1,8035.75
2,5,1,1,0,0,2,2,0,0,23,2,0,1,0,3,1,6,6,0,0,0,50,0,1,0,1,1,3398.25
2,5,0,1,0,0,3,3,0,0,18,2,0,1,0,3,1,6,5,1,12,1800,69320,0,402,0,1,1,5541.5
2,5,0,2,500,0,1,1,0,1,57,1,1,1,0,3,1,8,6,1,32,7500,7500,0,65,4,1,2,2905.75
2,5,1,0,0,0,0,1,0,0,21,2,0,2,0,3,1,6,6,0,0,0,0,0,0,0,1,1,0
2,5,0,0,0,0,0,1,0,1,19,2,0,1,0,3,1,7,6,1,36,3000,0,0,0,0,1,1,0
2,5,1,0,0,0,0,1,0,1,18,2,0,2,0,3,1,6,6,0,20,1000,0,0,0,0,1,1,0
2,5,0,1,0,0,2,2,0,0,18,2,0,1,0,3,1,6,5,0,0,0,64000,0,433,0,1,1,5321.25
2,5,0,1,0,0,1,1,0,1,49,1,1,1,0,3,0,6,6,2,0,0,0,0,1,0,1,1,3550.75
2,5,1,2,1000,0,3,2,0,0,21,2,0,1,0,3,1,7,6,1,5,3500,66500,0,454,0,1,1,3080.75
2,5,1,0,0,0,0,1,0,1,20,2,0,1,0,3,1,7,6,0,0,0,0,0,0,0,1,1,0
2,5,1,2,600,0,2,3,1,1,36,0,1,2,0,3,1,10,7,1,40,50000,50000,0,279,0,1,1,7855.75
2,5,1,1,0,0,5,4,0,0,19,2,0,1,0,3,1,6,6,2,40,5000,80800,0,347,0,1,1,935
2,5,0,2,0,1,1,3,2,1,33,1,2,1,0,3,1,8,6,2,0,6600,6600,0,37,0,2,1,7674.75
2,5,1,1,0,0,2,3,1,0,34,2,0,2,0,3,1,7,6,1,40,35000,90000,0,499,0,1,1,4358.25
2,5,0,0,0,0,0,1,0,0,19,2,0,1,0,3,1,6,6,0,15,1000,0,0,0,0,1,1,0
2,5,1,0,0,0,0,1,0,0,18,2,0,1,0,3,1,6,6,0,0,0,0,0,0,0,1,1,0
2,5,0,2,410,0,1,2,0,0,20,2,0,6,0,3,0,8,6,1,5,900,1400,0,9,0,1,1,5309
2,5,0,2,410,0,1,2,0,0,18,2,0,6,0,5,1,6,6,0,6,500,1400,0,9,0,1,1,5309
2,5,0,1,0,0,4,6,0,1,18,2,0,1,0,3,1,5,5,1,20,4000,82000,0,267,0,1,1,6076.5
2,5,0,1,0,0,4,6,0,0,18,2,0,1,0,3,1,5,5,1,20,4000,82000,0,267,0,1,1,6076.5
2,5,1,1,0,0,1,1,0,0,30,1,1,1,0,3,1,8,6,1,40,49100,49100,0,432,1,1,1,5434
3,6,1,1,0,0,2,2,0,1,21,2,0,1,0,3,1,7,6,2,14,1600,39600,0,264,0,1,1,5536.5
3,6,1,1,0,0,2,6,4,1,38,0,2,1,0,3,1,7,6,2,40,95800,145930,0,492,0,1,1,3608.25
3,6,1,1,0,0,3,1,0,1,61,1,1,8,0,4,1,11,7,1,40,45000,45000,0,393,1,1,1,2833.25
3,6,1,1,0,0,3,2,0,1,63,0,1,8,2,6,1,2,4,0,0,0,23800,0,180,0,1,1,2865.75
3,6,1,0,0,0,0,1,0,0,54,1,1,1,0,3,0,6,6,0,0,0,0,0,0,0,1,1,0
3,6,1,2,1200,0,1,1,0,1,31,2,0,1,0,3,0,7,6,2,40,25200,25200,0,221,0,1,1,5117.5
3,6,1,1,0,0,6,8,0,0,25,2,0,1,0,4,0,8,7,0,0,0,47520,0,116,0,1,1,955
3,6,1,1,0,0,6,8,0,0,20,2,0,1,0,4,0,7,6,1,26,520,47520,0,116,0,1,1,955
3,6,1,1,0,0,6,8,0,1,18,2,0,1,0,4,0,6,6,0,0,0,47520,0,116,0,1,1,955
3,6,1,1,0,0,6,8,0,0,22,2,0,1,0,4,0,10,7,0,0,0,47520,0,116,0,1,1,955
3,6,1,2,900,1,1,3,0,0,19,2,0,1,0,4,1,7,6,2,0,0,14000,0,79,0,1,1,7554.75
3,6,1,0,0,0,0,1,0,0,33,2,0,2,0,3,0,6,6,0,40,6000,0,0,0,0,1,1,0
3,6,1,2,0,0,3,3,0,0,18,2,0,1,0,3,1,5,5,0,0,11000,27900,0,163,0,1,1,3788.25
3,6,1,2,1300,0,1,1,0,1,37,2,0,4,0,4,1,10,7,1,40,140250,140250,0,501,0,1,1,5199
3,6,1,1,0,0,6,4,0,1,20,2,0,1,0,4,1,7,6,0,0,0,88700,0,387,0,1,1,3383.25
3,6,1,1,0,0,3,4,0,1,23,2,0,1,0,4,0,7,6,0,0,0,56000,0,247,0,1,1,5117.5
3,6,1,1,0,0,3,4,0,1,19,2,0,1,0,5,0,7,6,0,0,0,56000,0,247,0,1,1,5117.5
3,6,1,1,0,0,4,3,0,1,22,2,0,2,0,3,1,7,6,1,20,17000,192000,0,501,0,1,1,3698.25
3,6,1,1,0,0,4,4,0,0,21,2,0,7,0,4,0,7,6,0,0,0,55200,0,236,0,1,1,2943.25
3,6,1,2,1100,0,1,1,0,0,29,2,0,2,0,5,0,11,7,0,0,0,0,0,1,0,1,1,5117.5
3,6,1,2,1100,0,1,1,0,1,27,2,0,2,0,4,1,10,6,1,15,27000,27000,0,235,0,1,1,5117.5
3,6,1,2,790,0,1,4,0,1,18,2,0,7,0,4,1,6,5,0,0,0,43000,0,188,0,1,1,5237.5
3,6,1,2,2100,1,2,4,0,0,29,2,0,3,2,6,1,8,6,1,10,10000,44400,0,191,0,1,1,3998.25
3,6,1,2,850,0,0,1,0,1,19,2,0,8,2,4,1,7,6,1,25,10000,10000,0,87,0,1,1,9993
3,6,1,2,360,1,1,3,0,1,19,2,0,6,0,4,1,6,6,1,20,8100,21100,0,117,0,1,1,5387.5
3,6,1,2,1300,0,4,4,0,1,19,2,0,6,0,4,1,8,6,1,15,900,102600,0,442,0,1,1,2828.25
3,6,1,1,0,0,2,2,0,1,22,2,0,1,0,4,1,10,6,1,20,8400,93450,0,501,0,1,1,3113.25
3,6,1,2,2400,0,2,1,0,1,28,2,0,4,0,4,1,11,7,1,40,63000,63000,0,501,0,1,1,5161.25
3,6,1,1,0,0,2,1,0,0,44,2,0,1,0,3,1,7,6,1,42,90000,90000,0,501,0,1,1,3938.25
3,6,1,2,1500,0,2,5,3,1,31,0,1,0,0,3,1,7,6,0,8,1500,59500,0,227,0,1,1,5357.5
3,6,1,1,0,0,2,2,0,1,50,1,1,1,0,3,1,8,6,1,30,34500,63700,0,473,0,1,1,3333.25
3,6,1,1,0,0,3,3,0,0,19,2,0,8,0,4,1,7,6,0,0,0,126000,0,501,0,1,1,5386.25
3,6,1,0,0,0,0,1,0,0,18,2,0,7,0,4,0,6,6,0,0,0,0,0,0,0,1,1,0
3,6,1,1,0,0,4,2,0,1,32,0,1,1,0,3,1,8,6,1,40,90000,190000,0,501,0,1,1,3248.25
3,6,1,1,0,0,3,3,0,1,18,2,0,1,0,3,1,7,6,2,0,0,91000,0,501,0,1,1,2875.75
3,6,1,1,0,0,2,4,0,0,18,2,0,7,0,3,1,5,5,0,0,0,16800,0,73,0,1,1,3608.25
